session,bars,bars_in_trade,trades_entered,gate_open_pct,session_pnl,sharpe_intra,beta,hl_median
2024-11-08,391,0,0,0.0256,-0.0911,-3.2813,0.998214,3.84
2024-11-11,391,0,0,0.0,0.0,0.0,0.999132,20.0
2024-11-12,391,2,2,0.0281,-0.149,-2.9193,1.000659,2.0
2024-11-13,390,2,2,0.0513,-0.3993,-3.4021,1.001414,17.73
2024-11-14,391,0,0,0.0026,-0.0041,-1.413,1.002058,2.46
2024-11-15,391,18,9,0.0793,-0.8125,-4.8528,1.001984,2.18
2024-11-18,391,1,1,0.0179,-0.0466,-2.0833,1.001663,3.29
2024-11-19,390,15,10,0.1205,-1.0526,-6.5492,1.001643,2.64
2024-11-20,389,6,5,0.0437,-0.5151,-4.4982,1.001603,3.23
2024-11-21,391,4,3,0.0512,-0.3652,-3.796,1.001683,2.28
2024-11-22,391,0,0,0.0077,-0.0415,-1.5279,1.001705,2.8
2024-11-25,390,4,3,0.0667,-0.3622,-4.485,1.001561,2.48
2024-11-26,391,0,0,0.0,0.0,0.0,1.001439,20.0
2024-11-27,388,14,11,0.0747,-1.1548,-4.5763,1.001283,3.64
2024-11-29,219,7,3,0.0594,-0.258,-4.7514,1.001062,4.23
2024-12-02,390,14,9,0.0872,-0.7478,-4.7135,1.00097,2.36
2024-12-03,388,9,5,0.0412,-0.6337,-3.6188,1.000757,2.14
2024-12-04,384,21,9,0.1042,-0.9044,-5.7571,1.000494,9.14
2024-12-05,382,0,0,0.0183,-0.0924,-2.7044,1.000126,2.57
2024-12-06,386,0,0,0.013,-0.0674,-2.7848,0.999895,2.6
2024-12-09,388,14,9,0.067,-0.7572,-5.1422,0.999121,2.92
2024-12-10,389,0,0,0.0026,0.0,0.0,0.998992,15.67
2024-12-11,391,0,0,0.0026,-0.0149,-1.4013,0.999142,20.0
2024-12-12,387,2,2,0.0284,-0.1402,-3.2142,0.998854,2.49
2024-12-13,388,2,1,0.0129,-0.1267,-2.1491,0.99823,5.41
2024-12-16,384,0,0,0.0,0.0,0.0,0.997925,20.0
2024-12-17,389,0,0,0.0077,-0.0203,-1.5172,0.998186,2.29
2024-12-18,390,9,7,0.0692,-0.4612,-4.3185,0.998671,2.09
2024-12-19,389,10,7,0.0617,-0.6259,-4.0652,0.999641,2.22
2024-12-20,390,6,2,0.0231,-0.2307,-2.3794,1.000889,2.24
2024-12-23,381,0,0,0.0,0.0,0.0,1.001155,20.0
2024-12-24,211,2,1,0.0095,-0.1186,-2.2018,1.001149,2.9
2024-12-26,386,0,0,0.0078,-0.0644,-2.3161,1.001738,3.07
2024-12-27,387,1,1,0.0026,-0.0624,-1.4202,1.002156,4.51
2024-12-30,384,3,3,0.0312,-0.3005,-3.6123,1.002691,3.38
2024-12-31,387,0,0,0.0026,-0.0352,-1.4206,1.00294,7.57
2025-01-02,390,4,4,0.0282,-0.3768,-3.3528,1.003114,2.06
2025-01-03,388,0,0,0.0,0.0,0.0,1.002968,20.0
2025-01-06,390,8,6,0.0744,-0.6672,-4.812,1.002923,2.1
2025-01-07,388,2,2,0.0077,-0.0765,-2.1781,1.003089,2.61
2025-01-08,390,7,5,0.0513,-0.3438,-4.5372,1.003084,2.26
2025-01-10,389,7,5,0.0283,-0.5608,-3.2488,1.002536,4.25
2025-01-13,390,0,0,0.0051,-0.0207,-2.0048,1.00143,4.0
2025-01-14,383,0,0,0.0183,-0.0981,-2.9372,1.000475,2.91
2025-01-15,390,4,2,0.0436,-0.3099,-2.6372,0.999894,2.38
2025-01-16,391,0,0,0.0026,-0.0173,-1.4175,0.998757,5.79
2025-01-17,389,0,0,0.0,0.0,0.0,0.998542,20.0
2025-01-21,390,0,0,0.0,0.0,0.0,0.998661,20.0
2025-01-22,386,0,0,0.0,0.0,0.0,0.997636,20.0
2025-01-23,386,0,0,0.0,0.0,0.0,0.997197,20.0
2025-01-24,391,2,2,0.0256,-0.1435,-3.0404,0.996506,5.53
2025-01-27,390,1,1,0.0154,-0.1717,-2.2676,0.997423,9.47
2025-01-28,391,0,0,0.0,0.0,0.0,0.997877,20.0
2025-01-29,389,0,0,0.0103,-0.0426,-2.3704,0.998845,3.11
2025-01-30,391,0,0,0.0,0.0,0.0,0.999174,20.0
2025-01-31,391,0,0,0.0,0.0,0.0,0.999996,20.0
2025-02-03,391,0,0,0.0,0.0,0.0,1.000295,20.0
2025-02-04,389,0,0,0.0103,-0.0187,-2.2493,1.000264,3.42
2025-02-05,391,0,0,0.0,0.0,0.0,1.000331,20.0
2025-02-06,391,6,4,0.0256,-0.3029,-3.226,0.999917,3.53
2025-02-07,391,0,0,0.0,0.0,0.0,1.000286,20.0
2025-02-10,391,0,0,0.0102,-0.0164,-2.1624,1.000737,10.52
2025-02-11,390,2,1,0.0103,-0.0707,-1.8487,1.000113,6.43
2025-02-12,391,0,0,0.0,0.0,0.0,0.999689,20.0
2025-02-13,391,0,0,0.0,0.0,0.0,0.999146,20.0
2025-02-14,390,0,0,0.0,0.0,0.0,0.997821,20.0
2025-02-18,391,7,3,0.0332,-0.326,-3.0073,0.997717,2.19
2025-02-19,391,5,3,0.0435,-0.2295,-3.6534,0.997432,4.83
2025-02-20,391,1,1,0.0077,-0.0971,-2.0525,0.996796,23.45
2025-02-21,391,2,2,0.0051,-0.1439,-1.9227,0.996392,12.99
2025-02-24,391,0,0,0.0077,-0.0283,-2.1507,0.99525,5.28
2025-02-25,391,0,0,0.0,0.0,0.0,0.995084,20.0
2025-02-26,391,0,0,0.0,0.0,0.0,0.994421,20.0
2025-02-27,391,0,0,0.0,0.0,0.0,0.994386,20.0
2025-02-28,391,0,0,0.0,0.0,0.0,0.993936,20.0
2025-03-03,391,0,0,0.0026,-0.0165,-1.4107,0.995545,20.0
2025-03-04,391,0,0,0.0,0.0,0.0,0.996095,20.0
2025-03-05,391,0,0,0.0026,-0.0159,-1.4159,0.99625,20.0
2025-03-06,391,0,0,0.0026,-0.0142,-1.4032,0.997154,10.88
2025-03-07,391,0,0,0.0026,-0.0246,-1.3524,0.997145,5.99
2025-03-10,391,0,0,0.0128,-0.0319,-2.381,0.999874,2.49
2025-03-11,391,0,0,0.0128,-0.066,-2.65,1.003619,2.2
2025-03-12,391,2,2,0.0077,-0.1291,-2.2584,1.003652,6.88
2025-03-13,391,4,3,0.0205,-0.2603,-2.151,1.003545,2.53
2025-03-14,391,0,0,0.0077,-0.015,-1.8191,1.002452,9.97
2025-03-17,389,0,0,0.0026,-0.0452,-1.4079,1.002084,6.42
2025-03-18,391,1,1,0.0102,-0.048,-2.2264,1.001549,4.62
2025-03-19,391,3,3,0.0435,-0.2908,-4.2462,1.000586,10.68
2025-03-20,390,5,4,0.0462,-0.4722,-4.0267,1.000247,3.03
2025-03-21,391,1,1,0.0102,-0.1759,-2.1997,1.000253,4.82
2025-03-24,390,3,2,0.0282,-0.2648,-2.6715,1.000412,20.0
2025-03-25,389,2,2,0.018,-0.1007,-2.6678,1.000458,2.94
2025-03-26,389,2,2,0.0051,-0.1094,-1.9527,1.000394,3.08
2025-03-27,391,0,0,0.0205,-0.0743,-2.5405,1.000344,2.26
2025-03-28,391,0,0,0.0153,-0.0497,-2.1041,1.000079,3.43
2025-03-31,391,0,0,0.0,0.0,0.0,0.999713,20.0
2025-04-01,391,0,0,0.0,0.0,0.0,0.998975,20.0
2025-04-02,391,1,1,0.0153,-0.0825,-1.9502,0.998603,4.15
2025-04-03,391,1,1,0.0102,-0.0914,-1.7737,0.998408,2.17
2025-04-04,391,2,1,0.046,-0.2233,-3.6043,0.998589,2.39
2025-04-07,391,0,0,0.0,0.0,0.0,0.998192,20.0
2025-04-08,391,6,6,0.0384,-0.6406,-3.5095,0.998065,2.95
2025-04-09,391,0,0,0.0,0.0,0.0,0.998,20.0
2025-04-10,391,0,0,0.0051,-0.0205,-1.6703,0.997598,20.0
2025-04-11,391,0,0,0.0,0.0,0.0,0.998082,20.0
2025-04-14,391,6,4,0.0205,-0.3815,-2.7661,0.998499,16.21
2025-04-15,391,0,0,0.0,0.0,0.0,0.998479,20.0
2025-04-16,391,0,0,0.0,0.0,0.0,0.998485,20.0
